기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,상권_변화_지표,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,당월_매출_금액,당월_매출_건수,점포수,당월_매출금액/점포수,당월_매출건수/점포수,총_유동인구_수,총_직장_인구_수,총 상주인구 수,아파트_단지_수,아파트_평균_면적,아파트_평균_시가,시군구_코드
2020,2,A,골목상권,1000584,등촌로13길,LL,다이나믹,73,45,3696614088.0,179872,53,69747435.6226415,3393.811320754717,1017553,183,3824,101,50,129345405,11500
2020,2,A,골목상권,1000583,남부순환로11길,LL,다이나믹,103,43,3421023257.0,306535,97,35268281.0,3160.1546391752577,922711,307,3913,80,39,125799642,11500
2020,2,A,골목상권,1000582,까치산로4길,LL,다이나믹,111,51,6558544319.0,416279,108,60727262.21296296,3854.435185185185,982752,189,4197,144,54,126212765,11500
2020,2,A,골목상권,1000581,국회대로7길,HL,상권축소,114,49,3051219246.0,88829,47,64919558.42553192,1889.9787234042553,540479,215,2216,47,47,123086354,11500
2020,2,A,골목상권,1000580,공항대로8길,LL,다이나믹,110,46,7483702133.0,473618,130,57566939.484615386,3643.2153846153847,847990,276,3110,56,46,123338986,11500
2020,2,A,골목상권,1000579,공항대로61길,LL,다이나믹,91,53,2671948542.0,185652,76,35157217.65789474,2442.7894736842104,589694,547,2021,19,50,200310216,11500
2020,2,A,골목상권,1000578,공항대로59다길,HH,정체,114,55,3601112657.0,176087,91,39572666.56043956,1935.021978021978,867447,1037,3138,33,65,225325032,11500
2020,2,A,골목상권,1000577,공항대로59길,LH,상권확장,102,54,7886205390.0,235617,127,62096105.43307087,1855.251968503937,361753,654,2178,31,42,123916050,11500
2020,2,A,골목상권,1000576,공항대로55길,LH,상권확장,97,55,5458789677.0,214101,78,69984483.03846154,2744.8846153846152,465068,900,1934,33,49,175819585,11500
2020,2,A,골목상권,1000575,공항대로42길,LL,다이나믹,109,48,14034481708.0,127936,81,173265206.27160493,1579.4567901234568,463337,514,1090,18,63,172343258,11500
2020,2,A,골목상권,1000574,공항대로38길,LL,다이나믹,95,50,2699859867.0,66027,57,47365962.578947365,1158.3684210526317,217107,92,387,9,51,144915021,11500
2020,2,A,골목상권,1000573,곰달래로60길,LL,다이나믹,100,48,10990267681.0,392763,151,72783229.67549668,2601.0794701986756,474872,221,1964,39,46,127659488,11500
2020,2,A,골목상권,1000572,곰달래로53길,LH,상권확장,101,55,660868519.0,60980,44,15019739.068181818,1385.909090909091,957593,130,3613,87,48,120934924,11500
2020,2,A,골목상권,1000571,곰달래로47길,LL,다이나믹,86,49,1422600679.0,90090,39,36476940.48717949,2310.0,716524,333,4040,131,52,119931617,11500
2020,2,A,골목상권,1000570,곰달래로31길,LL,다이나믹,89,51,1001771617.0,46536,69,14518429.231884059,674.4347826086956,706865,120,3027,103,52,127641951,11500
2020,2,A,골목상권,1000569,곰달래로25길,LL,다이나믹,94,48,3202822267.0,198859,90,35586914.07777778,2209.5444444444443,593149,245,2931,79,55,133454072,11500
2020,2,A,골목상권,1000568,개화동로25길,HH,정체,139,62,1683431286.0,91592,97,17354961.711340208,944.2474226804123,753586,351,2331,31,48,165352087,11500
2020,2,A,골목상권,1000567,개화동로23길,HL,상권축소,132,52,6750496726.0,370775,109,61931162.623853214,3401.605504587156,1008199,857,3812,52,54,184334540,11500
2020,2,A,골목상권,1000566,강서로8길,LL,다이나믹,102,46,6762272300.0,308621,184,36751479.89130435,1677.2880434782608,1077328,214,3327,81,52,132928545,11500
2020,2,A,골목상권,1000565,강서로5라길,HL,상권축소,123,51,2700404170.0,99822,85,31769460.82352941,1174.3764705882354,652208,245,2692,63,47,126832613,11500
2020,2,A,골목상권,1000564,강서로5나길,LL,다이나믹,92,49,5298321792.0,283323,109,48608456.80733945,2599.293577981651,1890426,360,3141,31,41,121757734,11500
2020,2,A,골목상권,1000563,강서로5가길,LL,다이나믹,105,50,14007603548.0,790361,215,65151644.409302324,3676.0976744186046,976275,182,2211,18,47,155173737,11500
2020,2,A,골목상권,1000562,강서로47라길,LL,다이나믹,85,53,1153671477.0,100367,50,23073429.54,2007.34,802502,207,3812,96,54,146559782,11500
2020,2,A,골목상권,1000561,강서로47길,LL,다이나믹,93,48,6972073678.0,385539,140,49800526.27142857,2753.85,1052310,327,4280,57,59,192780456,11500
2020,2,A,골목상권,1000560,강서로45다길,LL,다이나믹,87,45,3235499216.0,327482,82,39457307.512195125,3993.682926829268,940893,243,2631,69,54,139359136,11500
2020,2,A,골목상권,1000559,강서로45길,LL,다이나믹,88,49,11066586040.0,453782,188,58864819.36170213,2413.7340425531916,575656,101,890,15,68,226721855,11500
2020,2,A,골목상권,1000558,강서로35길,LL,다이나믹,101,51,1721257460.0,110108,62,27762217.096774194,1775.9354838709678,497292,280,3931,88,50,128290041,11500
2020,2,A,골목상권,1000557,강서로29길,LL,다이나믹,100,47,4074441220.0,300233,87,46832657.70114943,3450.9540229885056,616036,384,3085,88,48,130055316,11500
2020,2,A,골목상권,1000556,강서로18길,LL,다이나믹,92,48,4828211033.0,392539,136,35501551.7132353,2886.3161764705883,1167368,676,6738,230,53,124221178,11500
